"icao24","firstseen_datetime","origin","lastseen_datetime","destination","callsign","duration_hours","departure_distance_km","arrival_distance_km","flight_date"
"89644d","2026-01-15 07:56:35.000 Asia/Muscat","OMDB","2026-01-15 15:48:46.000 Asia/Muscat","LPAR","UAE3MV  ","7.9","3.100000","6.500000","2026-01-15 04:00:00.000 Asia/Muscat"
"896308","2026-01-15 07:57:31.000 Asia/Muscat","OMDB","2026-01-15 15:40:29.000 Asia/Muscat","EGNT","UAE35   ","7.7","2.600000","0.200000","2026-01-15 04:00:00.000 Asia/Muscat"
"896615","2026-01-15 07:58:42.000 Asia/Muscat","OMDW","2026-01-15 15:22:13.000 Asia/Muscat","EGSS","UAE9901 ","7.4","2.800000","2.400000","2026-01-15 04:00:00.000 Asia/Muscat"
"89651a","2026-01-15 07:59:03.000 Asia/Muscat","OMDW","2026-01-15 09:12:50.000 Asia/Muscat","OMDW","EFC66H  ","1.2","3.900000","3.100000","2026-01-15 04:00:00.000 Asia/Muscat"
"89639a","2026-01-15 07:59:39.000 Asia/Muscat","OMDB","2026-01-15 15:41:56.000 Asia/Muscat","EGPF","UAE33T  ","7.7","2.200000","3.600000","2026-01-15 04:00:00.000 Asia/Muscat"
"8966a3","2026-01-15 07:59:41.000 Asia/Muscat","","2026-01-15 13:24:59.000 Asia/Muscat","OMSJ","ABY527  ","5.4","","2.300000","2026-01-15 04:00:00.000 Asia/Muscat"
"896674","2026-01-15 08:00:33.000 Asia/Muscat","","2026-01-15 08:43:23.000 Asia/Muscat","OMDW","A6MAR   ","0.7","","16.900000","2026-01-15 04:00:00.000 Asia/Muscat"
"8960f6","2026-01-15 08:01:13.000 Asia/Muscat","OMDB","2026-01-15 15:41:55.000 Asia/Muscat","LEMD","UAE7AM  ","7.7","2.500000","3.600000","2026-01-15 04:00:00.000 Asia/Muscat"
"4cacf1","2026-01-15 08:01:25.000 Asia/Muscat","LEZG","2026-01-15 17:50:23.000 Asia/Muscat","OMDW","GTR1944 ","9.8","1.400000","2.900000","2026-01-15 04:00:00.000 Asia/Muscat"
"800737","2026-01-15 08:02:16.000 Asia/Muscat","VAJJ","2026-01-15 10:39:59.000 Asia/Muscat","OMDB","AIC909  ","2.6","8.600000","4.500000","2026-01-15 04:00:00.000 Asia/Muscat"
"8940d5","2026-01-15 08:02:20.000 Asia/Muscat","","2026-01-15 08:51:53.000 Asia/Muscat","OMDB","DHX269  ","0.8","","5.000000","2026-01-15 04:00:00.000 Asia/Muscat"
"896215","2026-01-15 08:03:09.000 Asia/Muscat","OMDB","2026-01-15 08:52:18.000 Asia/Muscat","","UAE6M   ","0.8","2.600000","","2026-01-15 04:00:00.000 Asia/Muscat"
"896c23","2026-01-15 08:03:47.000 Asia/Muscat","OMAL","2026-01-15 08:51:34.000 Asia/Muscat","","FRS21   ","0.8","13.300000","","2026-01-15 04:00:00.000 Asia/Muscat"
"896c1e","2026-01-15 08:04:42.000 Asia/Muscat","","2026-01-15 08:56:53.000 Asia/Muscat","OMAL","FRS22   ","0.9","","15.800000","2026-01-15 04:00:00.000 Asia/Muscat"
"89668a","2026-01-15 08:05:03.000 Asia/Muscat","OMDB","2026-01-15 08:58:52.000 Asia/Muscat","","FDB8791 ","0.9","1.400000","","2026-01-15 04:00:00.000 Asia/Muscat"
"89656b","2026-01-15 08:05:10.000 Asia/Muscat","VNKT","2026-01-15 13:01:17.000 Asia/Muscat","OMDB","FDB1134 ","4.9","2.100000","4.900000","2026-01-15 04:00:00.000 Asia/Muscat"
"896c1a","2026-01-15 08:05:17.000 Asia/Muscat","OMAL","2026-01-15 08:58:20.000 Asia/Muscat","","FRS31   ","0.9","13.800000","","2026-01-15 04:00:00.000 Asia/Muscat"
"8965f8","2026-01-15 08:06:01.000 Asia/Muscat","OMSJ","2026-01-15 09:14:21.000 Asia/Muscat","","ABY145  ","1.1","0.500000","","2026-01-15 04:00:00.000 Asia/Muscat"
"896c28","2026-01-15 08:07:26.000 Asia/Muscat","","2026-01-15 09:06:07.000 Asia/Muscat","OMAL","FRS32   ","1.0","","20.500000","2026-01-15 04:00:00.000 Asia/Muscat"
"896557","2026-01-15 08:08:08.000 Asia/Muscat","OMDB","2026-01-15 08:28:38.000 Asia/Muscat","","FDB1725 ","0.3","2.900000","","2026-01-15 04:00:00.000 Asia/Muscat"
"8964e1","2026-01-15 08:08:33.000 Asia/Muscat","","2026-01-15 21:42:18.000 Asia/Muscat","OMDB","UAE262  ","13.6","","5.500000","2026-01-15 04:00:00.000 Asia/Muscat"
"896717","2026-01-15 08:08:41.000 Asia/Muscat","OMSJ","2026-01-15 14:39:50.000 Asia/Muscat","LKPR","ABY774  ","6.5","1.400000","1.100000","2026-01-15 04:00:00.000 Asia/Muscat"
"ab8f36","2026-01-15 08:09:06.000 Asia/Muscat","LFPG","2026-01-16 10:52:56.000 Asia/Muscat","OMDW","FDX6093 ","26.7","1.900000","2.900000","2026-01-16 04:00:00.000 Asia/Muscat"
"8964a3","2026-01-15 08:09:22.000 Asia/Muscat","OMDB","2026-01-15 08:58:59.000 Asia/Muscat","","UAE855  ","0.8","1.200000","","2026-01-15 04:00:00.000 Asia/Muscat"
"896504","2026-01-15 08:10:32.000 Asia/Muscat","OMSJ","2026-01-15 09:10:26.000 Asia/Muscat","","ABY177  ","1.0","1.100000","","2026-01-15 04:00:00.000 Asia/Muscat"
"896c3d","2026-01-15 08:13:06.000 Asia/Muscat","OMDB","2026-01-15 09:04:18.000 Asia/Muscat","","UAF312  ","0.9","2.700000","","2026-01-15 04:00:00.000 Asia/Muscat"
"8960fa","2026-01-15 08:13:19.000 Asia/Muscat","KJFK","2026-01-15 20:07:01.000 Asia/Muscat","OMDB","UAE8UW  ","11.9","0.900000","6.100000","2026-01-15 04:00:00.000 Asia/Muscat"
"abe212","2026-01-15 08:13:51.000 Asia/Muscat","OMDW","2026-01-15 12:14:38.000 Asia/Muscat","VGZR","GTI566  ","4.0","0.600000","0.100000","2026-01-15 04:00:00.000 Asia/Muscat"
"8963c9","2026-01-15 08:15:03.000 Asia/Muscat","OMSJ","2026-01-15 14:39:58.000 Asia/Muscat","LOWW","ABY970  ","6.4","1.000000","0.900000","2026-01-15 04:00:00.000 Asia/Muscat"
"896516","2026-01-15 08:15:37.000 Asia/Muscat","OMDB","2026-01-15 09:11:29.000 Asia/Muscat","","FDB847  ","0.9","2.800000","","2026-01-15 04:00:00.000 Asia/Muscat"
"8963ff","2026-01-15 08:16:40.000 Asia/Muscat","OMSJ","2026-01-15 08:39:34.000 Asia/Muscat","","ABY091  ","0.4","0.700000","","2026-01-15 04:00:00.000 Asia/Muscat"
"896607","2026-01-15 08:17:03.000 Asia/Muscat","OMDB","2026-01-15 09:01:36.000 Asia/Muscat","","FDB4JZ  ","0.7","2.500000","","2026-01-15 04:00:00.000 Asia/Muscat"
"896497","2026-01-15 08:17:17.000 Asia/Muscat","VGZR","2026-01-15 13:40:43.000 Asia/Muscat","OMSJ","ABY513  ","5.4","0.800000","2.100000","2026-01-15 04:00:00.000 Asia/Muscat"
"7100ac","2026-01-15 08:17:56.000 Asia/Muscat","","2026-01-15 09:12:58.000 Asia/Muscat","OMDB","SVA562  ","0.9","","5.200000","2026-01-15 04:00:00.000 Asia/Muscat"
"896198","2026-01-15 08:18:28.000 Asia/Muscat","OMDB","2026-01-15 15:23:25.000 Asia/Muscat","LFPG","UAE73   ","7.1","2.900000","5.200000","2026-01-15 04:00:00.000 Asia/Muscat"
